country,food_category,consumption,co2_emission
Venezuela,pork,7.23,25.59
Venezuela,poultry,39.28,42.19
Venezuela,beef,25.89,798.91
Venezuela,lamb_goat,0.32,11.21
Venezuela,fish,8.34,13.32
Venezuela,eggs,5.63,5.17
Venezuela,dairy,117.79,167.78
Venezuela,wheat,49.17,9.38
Venezuela,rice,23.39,29.93
Venezuela,soybeans,0.0,0.0
Venezuela,nuts,0.35,0.62
Belgium,pork,38.65,136.8
Belgium,poultry,12.2,13.11
Belgium,beef,15.63,482.31
Belgium,lamb_goat,1.32,46.23
Belgium,fish,18.97,30.29
Belgium,eggs,12.59,11.57
Belgium,dairy,236.19,336.43
Belgium,wheat,111.91,21.34
Belgium,rice,8.61,11.02
Belgium,soybeans,0.07,0.03
Belgium,nuts,7.32,12.96
Germany,pork,51.81,183.38
Germany,poultry,17.75,19.07
Germany,beef,13.16,406.09
Germany,lamb_goat,0.73,25.56
Germany,fish,11.16,17.82
Germany,eggs,12.2,11.21
Germany,dairy,258.7,368.49
Germany,wheat,83.41,15.91
Germany,rice,3.34,4.27
Germany,soybeans,0.88,0.4
Germany,nuts,7.96,14.09
Russia,pork,25.66,90.82
Russia,poultry,27.5,29.54
Russia,beef,16.98,523.97
Russia,lamb_goat,1.4,49.03
Russia,fish,20.82,33.24
Russia,eggs,15.43,14.17
Russia,dairy,163.57,232.99
Russia,wheat,130.99,24.98
Russia,rice,4.71,6.03
Russia,soybeans,0.05,0.02
Russia,nuts,1.62,2.87
Croatia,pork,42.79,151.46
Croatia,poultry,8.52,9.15
Croatia,beef,12.41,382.95
Croatia,lamb_goat,1.71,59.88
Croatia,fish,15.83,25.28
Croatia,eggs,8.48,7.79
Croatia,dairy,231.02,329.06
Croatia,wheat,106.59,20.33
Croatia,rice,2.64,3.38
Croatia,soybeans,0.0,0.0
Croatia,nuts,3.88,6.87
Belarus,pork,40.37,142.89
Belarus,poultry,31.29,33.61
Belarus,beef,17.11,527.98
Belarus,lamb_goat,0.11,3.85
Belarus,fish,15.75,25.15
Belarus,eggs,15.86,14.57
Belarus,dairy,133.73,190.49
Belarus,wheat,60.48,11.53
Belarus,rice,3.17,4.06
Belarus,soybeans,0.3,0.14
Belarus,nuts,3.36,5.95
Spain,pork,48.92,173.15
Spain,poultry,28.63,30.75
Spain,beef,12.15,374.92
Spain,lamb_goat,2.16,75.64
Spain,fish,28.83,46.03
Spain,eggs,13.32,12.24
Spain,dairy,164.29,234.01
Spain,wheat,93.88,17.9
Spain,rice,8.32,10.65
Spain,soybeans,0.02,0.01
Spain,nuts,7.44,13.17
Paraguay,pork,26.24,92.88
Paraguay,poultry,6.39,6.86
Paraguay,beef,19.81,611.29
Paraguay,lamb_goat,0.56,19.61
Paraguay,fish,3.6,5.75
Paraguay,eggs,18.83,17.3
Paraguay,dairy,75.72,107.86
Paraguay,wheat,31.51,6.01
Paraguay,rice,4.91,6.28
Paraguay,soybeans,0.0,0.0
Paraguay,nuts,1.6,2.83
New Caledonia,pork,19.9,70.44
New Caledonia,poultry,44.36,47.65
New Caledonia,beef,16.07,495.89
New Caledonia,lamb_goat,1.95,68.29
New Caledonia,fish,19.38,30.94
New Caledonia,eggs,8.85,8.13
New Caledonia,dairy,108.0,153.84
New Caledonia,wheat,81.75,15.59
New Caledonia,rice,17.47,22.36
New Caledonia,soybeans,0.55,0.25
New Caledonia,nuts,2.96,5.24
South Africa,pork,4.16,14.72
South Africa,poultry,37.57,40.36
South Africa,beef,18.03,556.37
South Africa,lamb_goat,4.28,149.89
South Africa,fish,5.56,8.88
South Africa,eggs,7.21,6.62
South Africa,dairy,55.75,79.41
South Africa,wheat,60.13,11.47
South Africa,rice,17.41,22.28
South Africa,soybeans,1.27,0.57
South Africa,nuts,1.04,1.84
Barbados,pork,8.3,29.38
Barbados,poultry,42.62,45.78
Barbados,beef,13.13,405.16
Barbados,lamb_goat,4.08,142.88
Barbados,fish,37.41,59.73
Barbados,eggs,9.61,8.83
Barbados,dairy,110.48,157.37
Barbados,wheat,65.71,12.53
Barbados,rice,15.66,20.04
Barbados,soybeans,0.1,0.05
Barbados,nuts,4.16,7.36
Lithuania,pork,45.67,161.65
Lithuania,poultry,26.84,28.83
Lithuania,beef,4.49,138.55
Lithuania,lamb_goat,0.24,8.4
Lithuania,fish,42.39,67.68
Lithuania,eggs,13.11,12.04
Lithuania,dairy,295.46,420.85
Lithuania,wheat,121.59,23.19
Lithuania,rice,3.07,3.93
Lithuania,soybeans,0.02,0.01
Lithuania,nuts,2.13,3.77
Turkey,pork,0.01,0.04
Turkey,poultry,18.78,20.17
Turkey,beef,11.64,359.19
Turkey,lamb_goat,4.68,163.89
Turkey,fish,5.58,8.91
Turkey,eggs,8.2,7.53
Turkey,dairy,193.94,276.25
Turkey,wheat,169.96,32.41
Turkey,rice,10.74,13.74
Turkey,soybeans,1.71,0.77
Turkey,nuts,7.97,14.11
Estonia,pork,29.68,105.05
Estonia,poultry,21.11,22.68
Estonia,beef,7.19,221.87
Estonia,lamb_goat,0.44,15.41
Estonia,fish,12.78,20.41
Estonia,eggs,12.66,11.63
Estonia,dairy,284.85,405.74
Estonia,wheat,89.36,17.04
Estonia,rice,2.56,3.28
Estonia,soybeans,0.04,0.02
Estonia,nuts,4.29,7.59
Mexico,pork,15.23,53.91
Mexico,poultry,30.12,32.35
Mexico,beef,15.33,473.05
Mexico,lamb_goat,0.89,31.17
Mexico,fish,7.56,12.07
Mexico,eggs,18.34,16.85
Mexico,dairy,111.87,159.35
Mexico,wheat,35.21,6.71
Mexico,rice,5.64,7.22
Mexico,soybeans,0.02,0.01
Mexico,nuts,2.51,4.44
Costa Rica,pork,10.28,36.39
Costa Rica,poultry,24.47,26.29
Costa Rica,beef,15.23,469.97
Costa Rica,lamb_goat,0.02,0.7
Costa Rica,fish,11.32,18.07
Costa Rica,eggs,10.55,9.69
Costa Rica,dairy,183.28,261.06
Costa Rica,wheat,39.31,7.5
Costa Rica,rice,45.69,58.47
Costa Rica,soybeans,1.54,0.69
Costa Rica,nuts,1.38,2.44
Bolivia,pork,8.89,31.47
Bolivia,poultry,34.31,36.86
Bolivia,beef,19.78,610.37
Bolivia,lamb_goat,1.72,60.23
Bolivia,fish,2.18,3.48
Bolivia,eggs,5.18,4.76
Bolivia,dairy,46.04,65.58
Bolivia,wheat,49.99,9.53
Bolivia,rice,26.99,34.54
Bolivia,soybeans,0.01,0.0
Bolivia,nuts,9.16,16.21
Ecuador,pork,14.44,51.11
Ecuador,poultry,21.85,23.47
Ecuador,beef,16.61,512.55
Ecuador,lamb_goat,0.44,15.41
Ecuador,fish,5.17,8.25
Ecuador,eggs,8.01,7.36
Ecuador,dairy,139.6,198.85
Ecuador,wheat,39.19,7.47
Ecuador,rice,45.07,57.68
Ecuador,soybeans,0.0,0.0
Ecuador,nuts,0.98,1.73
Panama,pork,13.48,47.71
Panama,poultry,30.81,33.1
Panama,beef,20.4,629.5
Panama,lamb_goat,0.01,0.35
Panama,fish,11.05,17.64
Panama,eggs,4.53,4.16
Panama,dairy,70.29,100.12
Panama,wheat,38.96,7.43
Panama,rice,66.42,85.0
Panama,soybeans,3.53,1.59
Panama,nuts,1.05,1.86
Czech Republic,pork,41.17,145.72
Czech Republic,poultry,19.09,20.51
Czech Republic,beef,8.15,251.49
Czech Republic,lamb_goat,0.34,11.91
Czech Republic,fish,8.25,13.17
Czech Republic,eggs,11.66,10.71
Czech Republic,dairy,195.2,278.04
Czech Republic,wheat,92.67,17.67
Czech Republic,rice,4.79,6.13
Czech Republic,soybeans,0.82,0.37
Czech Republic,nuts,2.47,4.37
Romania,pork,25.31,89.58
Romania,poultry,15.38,16.52
Romania,beef,4.78,147.5
Romania,lamb_goat,3.41,119.42
Romania,fish,6.07,9.69
Romania,eggs,12.94,11.89
Romania,dairy,238.33,339.48
Romania,wheat,134.87,25.72
Romania,rice,2.59,3.31
Romania,soybeans,0.01,0.0
Romania,nuts,1.8,3.19
