STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,n21020,a21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
50,VT,05032,3,180,60,100,20,90,380,100,0,0,0,0,0,30,70,11073,180,11254,160,8578,60,29,40,118,60,71,40,23,30,256,30,128,30,413,40,825,0,20,64,50,687,40,174,70,181,0,0,0,0,40,142,30,103,30,37,0,0,0,0,60,935,3511,30,223,60,111,0,0,60,272,30,11,60,390,50,290,0,0,0,0,0,0,0,0,30,78,0,0,0,0,180,7241,180,1002,0,0,0,0,70,100,0,0,30,14,40,51,0,0,40,57,30,5,20,46,0,0,0,0,0,0,180,1252,0,0,0,0,0,0,40,37,0,0,170,901,180,958,0,0,0,0,40,78,140,364
50,VT,05032,4,130,30,110,0,70,340,90,0,0,0,0,0,0,40,11479,130,11743,130,9529,50,24,20,18,0,0,40,26,30,566,20,-16,20,348,30,586,0,0,0,20,518,0,0,60,264,0,0,0,0,0,0,0,0,30,40,0,0,0,0,60,1064,4895,0,0,50,168,0,0,50,276,0,0,60,457,50,302,0,0,0,0,0,0,0,0,30,116,30,254,0,0,130,8129,130,1159,0,0,0,0,60,99,20,5,0,0,0,0,0,0,40,59,0,0,30,96,0,0,0,0,0,0,130,1455,0,0,0,0,0,0,0,0,0,0,130,1060,130,1176,0,0,0,0,30,73,100,341
50,VT,05032,5,110,0,110,0,90,290,90,0,0,0,0,0,0,50,14374,110,14736,120,12686,70,60,50,1269,50,1141,50,52,30,1320,50,1553,20,463,40,1241,0,0,0,30,668,30,981,60,362,0,0,0,0,0,0,0,0,30,34,0,0,0,0,90,1894,11638,0,0,110,1123,0,0,90,565,0,0,90,1102,80,603,0,0,0,0,0,0,0,0,70,158,0,0,0,0,110,11002,110,1822,0,0,0,0,70,90,0,0,0,0,0,0,0,0,30,30,0,0,20,95,0,0,0,0,0,0,110,2055,0,0,0,0,0,0,0,0,0,0,110,1758,110,1883,0,0,0,0,50,786,70,361
50,VT,05032,6,20,0,0,0,0,50,0,0,0,0,0,0,0,0,10727,20,10727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,883,10190,0,0,0,0,0,0,20,208,0,0,20,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9700,20,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2365,0,0,0,0,0,0,0,0,0,0,20,1665,20,2669,0,0,0,0,0,0,0,0
50,VT,05033,1,540,380,100,60,210,730,160,90,40,50,20,20,60,170,6455,540,6576,390,4869,100,47,60,117,50,80,0,0,90,689,50,37,40,221,80,606,0,0,0,40,53,0,0,100,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,352,381,0,0,0,0,0,0,20,68,0,0,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1374,220,149,0,0,0,0,50,13,0,0,0,0,0,0,20,3,0,0,0,0,80,106,40,110,40,118,0,0,460,969,170,378,140,322,80,98,20,19,20,23,200,135,250,242,0,0,0,0,60,43,420,762
50,VT,05033,2,430,250,100,90,180,750,220,0,0,0,0,0,80,100,15673,430,15981,380,12603,90,38,50,156,50,71,50,21,60,1069,40,27,40,332,60,990,30,60,203,80,510,30,261,120,308,0,0,0,0,50,196,30,105,80,70,0,0,0,0,70,839,2605,40,286,70,76,0,0,60,177,30,13,70,259,60,300,0,0,0,0,0,0,0,0,50,89,40,211,0,0,420,8669,420,1075,0,0,50,25,180,138,0,0,0,0,30,27,70,11,110,86,0,0,50,174,40,132,40,157,50,31,420,1892,100,196,80,150,60,96,0,0,0,0,360,937,380,1160,0,0,0,0,70,137,350,881
50,VT,05033,3,230,90,120,20,110,470,130,0,0,0,0,0,40,60,13822,230,14168,200,11174,70,20,40,302,40,251,50,37,40,371,40,152,30,345,50,658,0,0,0,50,627,0,0,80,346,0,0,0,0,0,0,0,0,50,45,0,0,0,0,80,1192,4571,20,201,70,170,0,0,70,266,0,0,80,451,60,307,0,0,0,0,40,50,0,0,30,46,0,0,0,0,220,9138,220,1254,0,0,0,0,100,140,40,2,40,17,40,47,20,3,60,101,30,30,30,106,0,0,0,0,0,0,220,1593,0,0,0,0,0,0,30,28,0,0,220,1114,220,1240,0,0,0,0,40,119,180,465
50,VT,05033,4,140,50,100,0,80,340,90,0,0,0,0,0,30,40,12389,140,12569,130,9418,60,24,30,334,30,299,30,22,30,433,20,122,30,466,40,870,0,0,0,30,611,0,0,70,180,40,9,0,0,0,0,20,83,30,32,0,0,0,0,60,1095,5588,0,0,60,241,0,0,60,255,30,9,60,502,50,281,0,0,0,0,0,0,0,0,50,129,20,147,0,0,140,8951,140,1300,0,0,0,0,60,101,0,0,40,16,0,0,0,0,40,71,0,0,20,70,0,0,0,0,0,0,140,1617,0,0,0,0,0,0,0,0,0,0,140,1199,140,1279,0,0,0,0,30,79,110,396
50,VT,05033,5,130,0,110,0,70,320,100,0,0,0,0,0,0,60,16100,130,16472,110,11901,70,33,60,1088,50,975,60,57,40,416,40,7237,30,648,40,1453,0,0,0,40,870,20,555,80,372,0,0,0,0,0,0,0,0,30,37,0,0,0,0,90,1833,10977,0,0,80,467,0,0,80,454,0,0,90,949,90,553,0,0,0,0,0,0,0,0,60,120,0,0,0,0,130,12411,130,2023,0,0,0,0,60,107,20,6,0,0,0,0,0,0,30,46,0,0,20,87,0,0,0,0,0,0,130,2271,0,0,0,0,0,0,0,0,0,0,130,1950,130,2038,0,0,0,0,50,1255,90,367
50,VT,05033,6,30,0,20,0,20,70,0,0,0,0,0,0,0,0,16375,30,16375,20,4283,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1376,16174,0,0,30,1096,0,0,30,244,0,0,30,1352,0,0,0,0,0,0,0,0,0,0,20,185,0,0,0,0,30,14776,30,3535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2765,0,0,0,0,0,0,0,0,0,0,30,3424,30,3479,0,0,0,0,0,0,0,0
50,VT,05034,1,80,60,0,0,40,110,40,0,0,0,0,0,0,40,921,80,921,60,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,200,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,0,0,0,0,0,0,70,144,30,63,30,50,0,0,0,0,0,0,30,19,40,40,0,0,0,0,0,0,70,115
50,VT,05034,2,40,50,0,0,30,60,0,0,0,0,0,0,0,0,1378,40,1429,40,1267,0,0,30,102,30,101,0,0,40,188,0,0,0,0,0,0,0,0,0,0,0,0,0,40,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,395,1403,0,0,20,45,0,0,20,94,0,0,30,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,787,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,184,0,0,0,0,0,0,0,0,0,0,40,94,40,114,0,0,0,0,0,0,50,109
50,VT,05034,3,20,0,50,0,0,40,0,0,0,0,0,0,0,0,1299,20,1299,40,2399,40,12,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,30,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,861,20,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,148,0,0,0,0,0,0,0,0,0,0,20,107,20,111,0,0,0,0,40,96,0,0
50,VT,05034,4,20,0,0,0,30,50,30,0,0,0,0,0,0,30,1898,20,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,74,0,0,0,0,20,1350,20,200,0,0,0,0,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,195,0,0,0,0,0,0,0,0,0,0,20,178,20,201,0,0,0,0,0,0,30,73
50,VT,05034,5,30,0,30,0,0,70,0,0,0,0,0,0,0,0,4228,30,4228,30,2869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,601,3405,0,0,20,176,0,0,20,194,0,0,20,376,20,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3293,30,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,688,0,0,0,0,0,0,0,0,0,0,30,587,30,594,0,0,0,0,0,0,0,0
50,VT,05034,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,VT,05035,1,110,80,20,0,40,130,0,0,0,0,0,0,0,30,1395,110,1425,70,1062,20,6,0,0,0,0,0,0,0,0,0,0,0,0,30,318,0,0,0,20,119,0,0,30,30,0,0,0,0,0,0,0,0,20,13,0,0,0,0,20,339,732,0,0,0,0,0,0,0,0,0,0,20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,398,50,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,0,90,164,40,57,30,47,0,0,0,0,0,0,50,38,60,66,0,0,0,0,20,15,80,106
